Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatJumpLocal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatAddressJumpLocal2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatAddressJumpForeign,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatAddressNotJump,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatAddressNotJump2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyLabels,testFormatNoOperands,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserARM,writeSomeTestsChris,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserARM,writeSomeTestsChris,Empty test,The tool detected the smell in this test method because the test is empty.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testAssemblyParse,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testAssemblyParseBrokenHeader,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testAssemblyParseBrokenInsn,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testAssemblyParseBrokenComment,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseWithModifier,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseNoOperands,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseMultiplePrefixes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseRegression1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseIntelFormat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseIntelFormatWithPrefixes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseIntelFormatWithPrefixes2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseIntelFormatWithPrefixes3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testInstructionParseIntelFormatStubCall,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testIdentifyOperands,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testExtractRegisterName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyParserX86,testParseJDK9Assembly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testSingleAsmMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testARM7Assembly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testSingleAsmMethodInterrupted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testTwoMethodsWithOneInterrupted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testRegressionWorksWithJMHIndentedLogs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testJMHPerfAnnotations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testCanParseAssemblyAndNMethodUnmangled,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testCanParseAssemblyWhenMethodCommentIsMangled,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testJDK9NativeAndNonNativeAssembly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testRegressionGraalIssue265,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,testJDK13AssemblyWithoutMachIdentifier,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testBytecodeSignature,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
