Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jitwatch,org.adoptopenjdk.jitwatch.chain,CompileChainWalker,4,0,5,3,0,18,0,0,0.0,2,7,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\chain\CompileChainWalker.java,49
jitwatch,org.adoptopenjdk.jitwatch.chain,CompileNode,9,0,19,17,111,28,0,0,0.15789473684210525,3,5,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\chain\CompileNode.java,19
jitwatch,org.adoptopenjdk.jitwatch.compilation,AbstractCompilationVisitable,1,0,1,0,8,2,1,1,0.0,0,2,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\compilation\AbstractCompilationVisitable.java,13
jitwatch,org.adoptopenjdk.jitwatch.compilation,AbstractCompilationWalker,1,0,3,3,11,3,0,2,0.6666666666666666,0,4,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\compilation\AbstractCompilationWalker.java,15
jitwatch,org.adoptopenjdk.jitwatch.compilation,CompilationUtil,2,0,12,10,224,54,0,0,0.3333333333333333,14,8,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\compilation\CompilationUtil.java,44
jitwatch,org.adoptopenjdk.jitwatch.compilation,ICompilationVisitable,0,0,1,0,3,1,1,0,-1.0,1,2,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\compilation\ICompilationVisitable.java,12
jitwatch,org.adoptopenjdk.jitwatch.compilation.codecache,CodeCacheEventWalker,2,0,4,4,44,9,0,0,0.5,1,4,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\compilation\codecache\CodeCacheEventWalker.java,17
jitwatch,org.adoptopenjdk.jitwatch.compilation.codecache,CodeCacheWalkerResult,3,0,8,8,44,9,0,0,0.25,3,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\compilation\codecache\CodeCacheWalkerResult.java,15
jitwatch,org.adoptopenjdk.jitwatch.core,ErrorLog,1,0,3,3,28,6,0,0,0.0,1,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\ErrorLog.java,16
jitwatch,org.adoptopenjdk.jitwatch.core,IJITListener,0,0,3,0,5,3,0,0,-1.0,6,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\IJITListener.java,11
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConfig,55,0,82,64,572,138,0,0,0.0,16,3,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\JITWatchConfig.java,33
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConfig.TieredCompilation,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\JITWatchConfig.java,35
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConfig.CompressedOops,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\JITWatchConfig.java,40
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConfig.BackgroundCompilation,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\JITWatchConfig.java,45
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConfig.OnStackReplacement,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\JITWatchConfig.java,50
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConstants,283,282,2,1,296,2,0,0,1.0,12,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\JITWatchConstants.java,14
jitwatch,org.adoptopenjdk.jitwatch.core,TagProcessor,5,0,6,3,0,41,0,0,0.0,6,4,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\core\TagProcessor.java,27
jitwatch,org.adoptopenjdk.jitwatch.demo,MakeHotSpotLog,1,0,39,4,331,66,0,0,0.05128205128205128,1,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\demo\MakeHotSpotLog.java,29
jitwatch,org.adoptopenjdk.jitwatch.histo,AbstractHistoVisitable,3,0,4,4,18,4,4,1,0.75,0,5,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\AbstractHistoVisitable.java,15
jitwatch,org.adoptopenjdk.jitwatch.histo,AttributeNameHistoWalker,2,0,2,2,22,4,0,2,0.0,0,2,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\AttributeNameHistoWalker.java,11
jitwatch,org.adoptopenjdk.jitwatch.histo,CompileTimeHistoWalker,0,0,2,2,12,4,0,2,-1.0,0,2,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\CompileTimeHistoWalker.java,12
jitwatch,org.adoptopenjdk.jitwatch.histo,Histo,5,0,9,9,77,15,0,0,0.3333333333333333,3,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\Histo.java,16
jitwatch,org.adoptopenjdk.jitwatch.histo,IHistoVisitable,0,0,1,0,3,1,1,0,-1.0,1,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\IHistoVisitable.java,10
jitwatch,org.adoptopenjdk.jitwatch.histo,InlineSizeHistoVisitable,2,0,5,4,0,17,0,2,0.4,0,5,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\InlineSizeHistoVisitable.java,51
jitwatch,org.adoptopenjdk.jitwatch.histo,NativeSizeHistoWalker,0,0,2,2,13,4,0,2,-1.0,0,2,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\histo\NativeSizeHistoWalker.java,12
jitwatch,org.adoptopenjdk.jitwatch.hotthrow,HotThrowFinder,3,0,3,3,0,20,0,0,0.0,1,10,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\hotthrow\HotThrowFinder.java,56
jitwatch,org.adoptopenjdk.jitwatch.hotthrow,HotThrowResult,4,0,7,7,51,18,0,0,0.0,1,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\hotthrow\HotThrowResult.java,10
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor,10,0,4,4,0,9,0,0,0.5,1,3,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\inline\HeadlessInlineVisitor.java,41
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineJournalVisitor,3,0,0,0,0,0,0,0,-1.0,0,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\inline\HeadlessInlineVisitor.java,101
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineFailureInfo,4,0,0,0,32,0,0,0,-1.0,0,0,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\inline\HeadlessInlineVisitor.java,215
jitwatch,org.adoptopenjdk.jitwatch.intrinsic,IntrinsicFinder,2,0,3,3,0,14,0,0,0.6666666666666666,3,4,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\intrinsic\IntrinsicFinder.java,51
jitwatch,org.adoptopenjdk.jitwatch.jarscan.allocationcount,AllocationCountOperation,2,0,4,3,0,9,0,0,0.0,0,3,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\jarscan\allocationcount\AllocationCountOperation.java,21
jitwatch,org.adoptopenjdk.jitwatch.jarscan.allocationcount,AllocCountMap,1,0,3,3,37,6,0,0,0.6666666666666666,1,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\jarscan\allocationcount\AllocCountMap.java,21
jitwatch,org.adoptopenjdk.jitwatch.jarscan.allocationcount,InstructionAllocCountMap,1,0,2,2,20,4,0,0,0.0,1,2,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\jarscan\allocationcount\InstructionAllocCountMap.java,13
jitwatch,org.adoptopenjdk.jitwatch.jarscan.freqinlinesize,FreqInlineSizeOperation,2,0,4,4,57,9,0,0,0.5,0,4,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\jarscan\freqinlinesize\FreqInlineSizeOperation.java,26
jitwatch,org.adoptopenjdk.jitwatch.jarscan,IJarScanOperation,0,0,2,0,4,2,0,0,-1.0,1,1,C:\Users\patel\Desktop\Assignment 3\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\jarscan\IJarScanOperation.java,10
